Zmienna;Typ informacji;Jednostka terytorialna;PKD - koniunktura gospodarcza (całość);Szereg czasowy;Wartość;Flaga
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M10;-22,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M11;-19,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M12;-19,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M01;-27,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M02;-17,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M03;-12,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M04;2,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M05;14,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M06;6,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M07;1,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M08;-9,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M09;-32,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M10;-41,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M11;-31,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M12;-29,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M01;-10,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M02;-14,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M03;-14,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M04;-9,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M05;-3,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M06;-3,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M07;1,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M08;0,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M09;-4,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M10;-4,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M11;-6,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2022 M12;-9,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M01;-52,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M02;-40,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M03;-34,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M04;-39,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M05;-12,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M06;3,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M07;5,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M08;-6,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M09;-10,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M10;-12,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M11;-17,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M12;-19,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M01;-45,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M02;-25,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M03;-17,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M04;-20,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M05;24,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M06;38,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M07;30,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M08;-3,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M09;-16,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M10;-25,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M11;-28,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M12;-30,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M01;-59,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M02;-55,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M03;-51,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M04;-58,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M05;-50,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M06;-32,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M07;-19,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M08;-9,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M09;-4,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M10;0,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M11;-5,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2021 M12;-8,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2020 M01;-0,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2020 M02;-5,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2020 M03;-9,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2020 M04;-70,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2020 M05;-60,4;(nd)
