Zmienna;Typ informacji;Jednostka terytorialna;PKD - koniunktura gospodarcza (całość);Szereg czasowy;Wartość;Flaga
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M11;9,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M12;7,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M01;8,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M02;11,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M03;12,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M04;14,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M05;20,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M06;14,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M07;14,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M08;7,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M09;-4,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M10;-1,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M11;0,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M12;-0,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M01;18,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M02;18,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M03;16,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M04;15,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M05;12,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M06;16,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M07;18,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M08;17,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M09;16,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M10;14,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M11;18,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2018 M12;15,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M01;2,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M02;11,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M03;10,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M04;15,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M05;14,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M06;18,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M07;15,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M08;14,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M09;5,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M10;3,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M11;3,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M12;0,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M01;-5,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M02;10,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M03;15,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M04;25,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M05;20,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M06;20,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M07;15,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M08;10,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M09;-4,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M10;-6,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M11;-2,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M12;-8,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M01;10,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M02;12,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M03;6,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M04;5,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M05;8,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M06;15,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M07;14,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M08;18,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M09;14,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M10;14,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M11;10,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2017 M12;8,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M01;-1,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M02;0,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M03;4,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M04;10,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M05;11,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M06;11,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M07;9,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M08;5,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M09;0,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M10;0,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M11;-0,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M12;-6,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M01;-8,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M02;-2,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M03;10,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M04;16,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M05;18,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M06;15,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M07;8,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M08;-0,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M09;-7,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M10;-9,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M11;-9,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M12;-13,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M01;4,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M02;3,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M03;-0,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M04;3,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M05;5,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M06;7,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M07;10,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M08;10,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M09;7,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M10;9,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M11;8,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2016 M12;1,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M06;7,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M07;9,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M08;5,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M09;-0,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M10;-3,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M11;-4,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M12;-3,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M06;13,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M07;12,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M08;1,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M09;-9,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M10;-12,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M11;-12,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M12;-10,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M06;1,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M07;5,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M08;9,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M09;7,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M10;5,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M11;4,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;ZAKWATEROWANIE I GASTRONOMIA;2015 M12;3,4;(nd)
