Zmienna;Typ informacji;Jednostka terytorialna;PKD - wybrane sekcje i działy 1 (KG);Szereg czasowy;Wartość;Flaga
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M03;-20,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M04;-15,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M05;-14,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M06;-15,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M07;-15,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M08;-15,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M09;-19,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M10;-22,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M11;-22,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2022 M12;-23,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M01;-26,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M02;-19,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M03;-26,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M04;-18,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M05;-16,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M06;-18,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M07;-19,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M08;-19,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M09;-24,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M10;-29,6;(nd)
