Zmienna;Typ informacji;Jednostka terytorialna;PKD - wybrane sekcje i działy 1 (KG);Szereg czasowy;Wartość;Flaga
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M03;-10,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M04;-6,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M05;-6,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M06;-0,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M07;1,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M08;0,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M09;0,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M10;1,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M11;0,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M12;-1,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2017 M01;-9,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2017 M02;-6,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2017 M03;-1,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2017 M04;2,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2017 M05;2,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2017 M06;6,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2017 M07;6,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2017 M08;5,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2017 M09;2,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2017 M10;0,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2017 M11;-1,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2017 M12;-6,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M01;-15,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M02;-5,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M03;8,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M04;12,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M05;11,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M06;13,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M07;11,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M08;9,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M09;4,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M10;-0,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M11;-4,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M12;-11,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M01;-7,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M02;-12,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M03;-15,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M04;-12,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M05;-11,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M06;-9,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M07;-8,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M08;-8,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M09;-8,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M10;-9,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M11;-9,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M12;-12,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2016 M01;-12,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2016 M02;-9,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2016 M03;-6,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2016 M04;-2,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2016 M05;-1,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2016 M06;-1,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2016 M07;-1,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2016 M08;-3,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2016 M09;-5,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2016 M10;-9,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2016 M11;-12,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2016 M12;-17,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M01;-17,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M02;-5,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M03;1,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M04;7,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M05;8,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M06;7,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M07;4,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M08;1,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M09;-2,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M10;-8,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M11;-14,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2016 M12;-22,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M06;-10,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M07;-8,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M08;-5,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M09;-7,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M10;-7,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M11;-8,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M12;-10,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2015 M06;-2,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2015 M07;-1,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2015 M08;-0,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2015 M09;-5,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2015 M10;-7,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2015 M11;-11,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2015 M12;-16,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M06;6,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M07;6,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M08;3,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M09;-3,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M10;-8,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M11;-14,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2015 M12;-21,4;(nd)
